Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A794752;*Bentley;05/11/2019 03:53:00 PM;183 And Highway 71 in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Labrador Retriever;White
A791088;;03/21/2019 12:29:00 PM;Doyle Overton Road And Hokanson Road in Travis (TX);Stray;Normal;Dog;Intact Male;1 month;German Shepherd/Labrador Retriever;Brown/White
A796055;*Norah;05/28/2019 12:15:00 PM;309 Montopolis in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;English Bulldog;White/Brown Brindle
A824757;*Mimi;10/20/2020 12:59:00 PM;8800 North Ih 35 in Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Medium Hair;Calico
A825315;;11/01/2020 08:06:00 PM;74 Trinity in Austin (TX);Wildlife;Injured;Other;Unknown;1 year;Bat;Brown
A821350;*Odette;08/10/2020 07:53:00 AM;701 West 28Th in Austin (TX);Stray;Injured;Cat;Intact Female;4 weeks;Domestic Shorthair;Calico/White
A789259;;02/18/2019 02:15:00 PM;5207 Brodie Ln in Austin (TX);Wildlife;Injured;Bird;Unknown;2 years;Hawk Mix;Red
A803551;Penelope;09/02/2019 05:36:00 PM;1813 Crooked Lane in Austin (TX);Stray;Normal;Dog;Spayed Female;6 years;Dachshund/Australian Cattle Dog;White/Brown
A799670;Ruby;07/10/2019 06:44:00 PM;1305 Alegria in Austin (TX);Public Assist;Normal;Dog;Intact Female;6 months;Welsh Terrier;Black/White
A793320;;04/23/2019 02:22:00 PM;11501  Staked Plains Dr in Austin (TX);Wildlife;Normal;Other;Unknown;1 year;Bat Mix;Brown
A797715;Rocky;06/17/2019 10:20:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;5 years;German Shepherd/Siberian Husky;Tan/Black
A799028;;07/03/2019 12:50:00 PM;2601 Scofield Ridge Parkway in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Jack Russell Terrier Mix;Brown/White
A805099;*Raina;09/22/2019 01:24:00 PM;11920 Cimaizon Drive in Austin (TX);Stray;Normal;Cat;Intact Female;3 weeks;Domestic Shorthair;Black
A820898;Nola;09/15/2020 05:14:00 PM;Outside Jurisdiction;Owner Surrender;Normal;Dog;Spayed Female;2 years;Pit Bull;Blue/White
A792904;*Leo;04/16/2019 07:05:00 PM;9808 Crownridge in Austin (TX);Stray;Normal;Dog;Intact Male;4 months;Pointer Mix;Black/White
A821324;*Munch;08/08/2020 03:53:00 PM;6900 E Riverside Drive in Austin (TX);Stray;Normal;Dog;Intact Male;5 months;Boxer Mix;Brown/White
A813339;;02/08/2020 12:19:00 PM;5901 Southwest Pkwy in Austin (TX);Wildlife;Sick;Other;Unknown;1 year;Raccoon;Gray/Black
A813322;;02/07/2020 10:22:00 PM;10000 Echo Hills Ct in Austin (TX);Wildlife;Sick;Other;Unknown;2 years;Bat;Brown/Brown
A803033;;08/26/2019 01:39:00 PM;139812 Fm 812 in Travis (TX);Stray;Normal;Dog;Intact Female;5 months;Anatol Shepherd Mix;Brown/Black
A791218;Hutch;03/22/2019 08:53:00 PM;2818 Kramer in Austin (TX);Public Assist;Normal;Dog;Neutered Male;12 years;Australian Shepherd Mix;Black/White
A802930;Orange Foot;08/24/2019 06:37:00 PM;Travis (TX);Owner Surrender;Normal;Cat;Intact Female;9 months;Domestic Shorthair;Tortie
A790239;;03/06/2019 05:33:00 PM;China Rose Drive And Berryline Way in Travis (TX);Stray;Normal;Dog;Intact Female;1 year;Miniature Poodle Mix;White
A816711;;04/25/2020 11:56:00 AM;1009 West 26Th Street in Austin (TX);Stray;Nursing;Cat;Unknown;2 weeks;Domestic Shorthair;Orange Tabby/White
A802904;Jackie;08/24/2019 01:07:00 PM;Austin (TX);Stray;Normal;Dog;Neutered Male;7 years;German Shepherd;Black/White
A799904;;07/13/2019 01:20:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;4 weeks;American Pit Bull Terrier;Brown Brindle/White
A794347;Cthulhu;05/07/2019 11:10:00 AM;9019 El Roy Road in Travis (TX);Stray;Nursing;Cat;Intact Female;4 weeks;Domestic Shorthair Mix;Black
A787876;;01/21/2019 07:03:00 PM;11716 Maybach Drive in Travis (TX);Stray;Normal;Cat;Intact Male;2 years;Domestic Shorthair Mix;Orange Tabby
A800494;Ducky;07/22/2019 11:05:00 AM;West William Cannon Drive And Southwest Parkway in Austin (TX);Stray;Normal;Dog;Intact Female;8 months;Whippet Mix;Black/White
A824201;*Miracle;10/08/2020 02:39:00 PM;501 W 12Th St in Austin (TX);Stray;Sick;Cat;Intact Male;1 month;Domestic Shorthair;Orange/White
A807495;*Ruby;10/25/2019 03:30:00 PM;4103 West Slaughter Lane in Austin (TX);Stray;Normal;Cat;Intact Female;3 weeks;Domestic Medium Hair;Calico
A817749;;05/24/2020 05:57:00 PM;2207 Lou Neff Road in Austin (TX);Stray;Normal;Dog;Intact Female;2 months;Labrador Retriever;Black/White
A825542;;11/05/2020 05:11:00 PM;507 Seminole Drive in Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair;Black/White
A787083;Christy;01/07/2019 01:10:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;4 months;Domestic Shorthair Mix;Black
A818868;*266 Grams;06/16/2020 03:21:00 PM;1455 Roxannes Run in Travis (TX);Stray;Normal;Cat;Intact Female;1 week;Domestic Shorthair;Tortie
A779727;Daisy;02/01/2019 11:32:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;7 months;Pointer/Beagle;Black/White
A819145;;06/24/2020 05:03:00 PM;Key View Cove in Austin (TX);Stray;Injured;Dog;Intact Female;6 months;Great Pyrenees Mix;Cream/Brown
A820158;;07/13/2020 05:33:00 PM;10000 North Lamar in Austin (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Shorthair Mix;Brown Tabby
A802293;;08/16/2019 11:12:00 AM;7800 Old Manor Road in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;West Highland Mix;White
A803571;;09/03/2019 09:45:00 AM;10904 Tall Oak Trail in Austin (TX);Stray;Sick;Cat;Unknown;4 years;Domestic Shorthair;Black
A785825;Zuse;08/05/2020 06:03:00 PM;Autumn Bay Dr And South Glenn St in Austin (TX);Stray;Normal;Dog;Intact Male;3 years;Pit Bull Mix;Brown Brindle/White
A807798;;10/30/2019 12:28:00 PM;Briarcreek Loop And Blake Manor Road in Travis (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Shorthair;Brown Tabby/White
A582491;Chipper;01/21/2019 02:56:00 PM;2102 Chicon Street in Austin (TX);Stray;Normal;Dog;Neutered Male;9 years;Chihuahua Shorthair Mix;White/Brown
A812993;Baby;02/01/2020 03:57:00 PM;85 Trinity in Austin (TX);Public Assist;Normal;Dog;Intact Female;2 years;Yorkshire Terrier Mix;Brown
A674694;Cornelius;09/13/2019 05:15:00 PM;Knool Pines Pass And Southwick Drive in Austin (TX);Stray;Normal;Dog;Neutered Male;10 years;Yorkshire Terrier Mix;Tan/Gray
A801107;;07/31/2019 12:30:00 PM;9619 Sugarhill Drive in Austin (TX);Stray;Normal;Cat;Intact Male;4 months;Domestic Shorthair;Black/White
A793168;Princess;04/20/2019 02:05:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;9 years;Shiba Inu Mix;Tan
A805065;Ruthie;09/21/2019 09:14:00 PM;8714 Fm 812 Rd in Travis (TX);Stray;Normal;Dog;Intact Female;2 years;Pit Bull;Black/White
A788096;Dexter;01/19/2019 04:03:00 PM;5400 Friedrich Ln in Austin (TX);Owner Surrender;Other;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Black
A794930;;05/14/2019 10:21:00 AM;2829 South Lakeline Boulevard in Cedar Park (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Shorthair;Orange Tabby
A815792;;03/26/2020 12:45:00 PM;Austin (TX);Wildlife;Normal;Other;Unknown;1 year;Bat;Brown
A797690;Jake;06/16/2019 04:31:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Neutered Male;4 years;Domestic Shorthair Mix;Brown Tabby/White
A802776;Buster;08/22/2019 03:18:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;7 years;Miniature Poodle/Cocker Spaniel;Apricot
A796661;Xena;06/04/2019 07:37:00 AM;Austin (TX);Stray;Nursing;Dog;Intact Female;3 days;American Staffordshire Terrier Mix;Brown/Black
A792157;*Jamie;04/19/2019 04:48:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;9 months;Labrador Retriever Mix;Black/White
A820844;*Blynken;07/30/2020 01:07:00 PM;Austin (TX);Owner Surrender;Normal;Other;Unknown;1 year;Guinea Pig;White
A798208;;06/23/2019 11:03:00 AM;7005 Townsborough Drive in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Blue Tabby
A808023;Zoey;11/03/2019 02:15:00 AM;2493 Bettis Blvd in Travis (TX);Stray;Normal;Dog;Spayed Female;6 years;Labrador Retriever/Standard Poodle;Chocolate
A810894;Luna;12/22/2019 12:39:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;1 year;Domestic Longhair;Gray Tabby/White
A802969;;08/25/2019 03:21:00 PM;2701 East 7Th Street in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Cream Tabby/White
A808853;Amelia;11/14/2019 06:00:00 PM;Outside Jurisdiction;Stray;Nursing;Dog;Intact Female;4 weeks;Miniature Poodle Mix;Apricot
A788130;Bailey;01/26/2019 06:40:00 PM;205 West Grady Drive in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Miniature Schnauzer Mix;Tricolor/Brown
A789501;Lady;02/22/2019 05:32:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;5 years;Beagle Mix;Brown/White
A803289;Onyx;08/30/2019 12:51:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 years;Border Collie/Great Pyrenees;Black/White
A820117;*Mrs. Silver;07/13/2020 11:18:00 AM;14003 Denny Ln in Travis (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Tortie
A681583;Josie;02/20/2019 02:18:00 PM;Austin (TX);Public Assist;Normal;Dog;Intact Female;5 years;Pit Bull Mix;White
A787356;Ralf;01/11/2019 03:34:00 PM;10703 North Platt River in Austin (TX);Stray;Normal;Dog;Intact Male;3 years;Chihuahua Longhair Mix;White/Gray
A813060;*Bella;02/03/2020 01:25:00 PM;1601 East Slaughter Lane in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Pit Bull;Black Brindle
A822338;Leo;08/31/2020 01:31:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Male;3 weeks;German Shepherd Mix;Brown/Black
A822853;;09/10/2020 04:42:00 PM;12805 Cedar St in Travis (TX);Stray;Normal;Dog;Intact Male;2 months;Doberman Pinsch/Black Mouth Cur;Black/Tan
A802768;*Munchkin;08/22/2019 02:11:00 PM;4106 North Lamar in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair;Brown Tabby
A807082;;10/20/2019 02:32:00 PM;1411 Hillcrest Drive in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Brown Tabby
A822668;*Holley;09/08/2020 09:36:00 AM;14982 Swiss Drive in Travis (TX);Stray;Normal;Cat;Intact Female;2 months;Domestic Shorthair;Calico/Brown Tabby
A806950;;10/18/2019 01:44:00 PM;9912 Rodriguez Lane in Austin (TX);Stray;Normal;Cat;Neutered Male;2 years;Domestic Shorthair;Cream Tabby
A797639;;06/15/2019 06:16:00 PM;3608 Verano Drive in Austin (TX);Stray;Normal;Cat;Intact Female;2 months;Domestic Shorthair;Black
A816304;;04/13/2020 02:58:00 PM;6511 Stoneleigh Pl in Austin (TX);Stray;Nursing;Cat;Intact Female;1 week;Domestic Shorthair;Torbie
A799902;;07/13/2019 01:20:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;4 weeks;American Pit Bull Terrier;Black/White
A810208;*Oaken;12/09/2019 10:48:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;1 month;Labrador Retriever;Black/White
A814585;Charlie;03/09/2020 12:13:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Neutered Male;2 years;Labrador Retriever;Red/White
A796226;;05/30/2019 02:14:00 PM;4401 Dovemeadow Dr in Austin (TX);Stray;Injured;Cat;Intact Female;3 months;Domestic Shorthair;Black
A808075;*Jones;01/19/2020 07:45:00 AM;8711 Huebinger Pass in Austin (TX);Stray;Injured;Dog;Spayed Female;4 months;American Bulldog Mix;White/Blue
A822724;*Antonio;09/14/2020 10:47:00 AM;12206 Athens Street in Manor (TX);Stray;Normal;Dog;Intact Male;6 months;German Shepherd;Tricolor
A822734;Missy;09/08/2020 03:43:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 years;Staffordshire Mix;Brown/White
A783354;Goku;01/28/2019 03:18:00 PM;Pflugerville (TX);Owner Surrender;Normal;Dog;Neutered Male;3 years;Siberian Husky Mix;Black/White
A823764;;09/30/2020 07:55:00 AM;Travis (TX);Wildlife;Normal;Other;Unknown;1 year;Bat;Brown
A804305;Lola;09/22/2019 02:37:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;2 months;German Shepherd;Tan/Black
A811240;Madam;12/30/2019 03:31:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;9 years;Domestic Shorthair Mix;Agouti
A810827;;12/21/2019 12:27:00 PM;5701 Kleberg Trail in Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair;Orange Tabby
A796586;Twyla;06/03/2019 12:22:00 PM;1024 Melanies Walk in Pflugerville (TX);Stray;Normal;Dog;Intact Female;1 month;Pomeranian Mix;Black/White
A803267;;08/29/2019 09:00:00 PM;11304 Walnut Ridge Dr in Austin (TX);Stray;Sick;Dog;Intact Male;6 years;Cairn Terrier Mix;Brown
A803448;Jasper;09/01/2019 12:02:00 PM;6201 Sneed Cover in Austin (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Shorthair;Brown Tabby
A798939;;07/02/2019 12:20:00 PM;701 Theresa Avenue in Austin (TX);Stray;Normal;Other;Intact Male;4 months;Tortoise;Green
A809436;Skippi;11/24/2019 02:29:00 PM;4505 Nixon Ln in Austin (TX);Stray;Normal;Bird;Unknown;2 years;Macaw;Green/Red
A820882;;07/31/2020 11:49:00 AM;8219 Burleson Rd in Austin (TX);Wildlife;Injured;Other;Unknown;2 years;Bat;Brown
A814906;;03/08/2020 01:16:00 PM;4708 Reyes Street in Austin (TX);Stray;Normal;Cat;Unknown;8 months;Domestic Medium Hair Mix;Brown Tabby
A791278;*Jasmine;03/23/2019 05:14:00 PM;11520 Melstone Drive in Manor (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair Mix;Brown Tabby
A809299;;11/22/2019 01:56:00 PM;Travis (TX);Public Assist;Normal;Bird;Unknown;6 months;Finch;Gray/Red
A824490;*Voorhees;10/15/2020 02:18:00 PM;Far West in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Alaskan Husky;Red/White
A822296;;08/30/2020 02:00:00 PM;226 Pedernales Street in Austin (TX);Wildlife;Injured;Other;Unknown;2 years;Squirrel;Brown
A783051;Kaira;07/01/2019 03:25:00 PM;Bee Cave (TX);Owner Surrender;Normal;Dog;Spayed Female;1 year;Whippet Mix;Tan
A794030;;05/03/2019 11:56:00 AM;8201 Fm 812 in Austin (TX);Stray;Normal;Cat;Unknown;3 weeks;Snowshoe Mix;Seal Point/White
A798625;*Ilya;06/28/2019 02:04:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Male;2 months;Domestic Medium Hair;Black/White
A791647;;03/29/2019 07:58:00 AM;19211 Blake Manor Rd in Travis (TX);Stray;Sick;Cat;Intact Female;2 years;Domestic Shorthair Mix;Blue Tabby
A813190;Maggie;02/05/2020 04:46:00 PM;32Nd St in Austin (TX);Stray;Normal;Dog;Intact Female;7 months;German Wirehaired Pointer;Chocolate
A799908;;07/13/2019 02:47:00 PM;2809 West William Cannon Drive in Austin (TX);Stray;Normal;Cat;Intact Female;2 months;Domestic Shorthair;Orange Tabby/White
A787370;*Pluto;01/11/2019 05:45:00 PM;Leander (TX);Owner Surrender;Normal;Cat;Intact Male;2 years;Domestic Shorthair Mix;Black/White
A811831;Maverick;01/10/2020 12:08:00 PM;4400 East Ben White in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Australian Cattle Dog;Blue Merle
A794978;Domino;05/14/2019 05:06:00 PM;5009 Table Top in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair;White/Black
A809049;;11/18/2019 11:11:00 AM;600 Blackberry Drive in Austin (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Shorthair;Brown
A790764;;03/16/2019 11:30:00 AM;4416 Clawson in Austin (TX);Wildlife;Normal;Other;Unknown;1 year;Bat Mix;Brown
A809826;Chewy;12/02/2019 11:39:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;3 years;Chow Chow Mix;Black/White
A787661;Simone;01/17/2019 06:01:00 PM;5400 Freidrich Ln in Austin (TX);Owner Surrender;Normal;Cat;Intact Female;2 years;Siamese Mix;Seal Point
A792192;Meeko;04/07/2019 04:03:00 PM;10608 Tramonto Drive in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;Pit Bull Mix;White/Black
A762670;Chester;08/25/2019 02:29:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;2 years;Staffordshire Mix;Brown Brindle
A820071;;07/11/2020 07:22:00 AM;10804 Mcangus Road in Travis (TX);Owner Surrender;Injured;Cat;Spayed Female;2 years;Domestic Shorthair;Calico
A789578;;02/24/2019 02:58:00 PM;106 Westward Cove in Austin (TX);Stray;Normal;Dog;Intact Male;3 months;Chihuahua Shorthair Mix;Brown
A808903;Dougie;11/15/2019 07:55:00 PM;8600 S 1St St in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Pug;Fawn
A805046;*Shotput;09/21/2019 05:25:00 PM;21902 Cold Spring Dr in Travis (TX);Stray;Normal;Dog;Intact Male;5 years;Labrador Retriever/Great Pyrenees;White
A800775;Pancho;07/27/2019 01:01:00 PM;Austin (TX);Public Assist;Normal;Dog;Intact Male;6 years;Norfolk Terrier Mix;White/Brown
A810244;Tessa;12/09/2019 04:02:00 PM;8300 Bluff Springs in Austin (TX);Public Assist;Normal;Dog;Spayed Female;2 years;Border Collie/Labrador Retriever;Tan/Brown
A787335;Hershey;01/11/2019 02:15:00 PM;600 West St Elmo in Austin (TX);Stray;Normal;Dog;Intact Female;3 years;Dachshund Longhair Mix;Blue/Tan
A795786;Nikita;05/24/2019 03:01:00 PM;11249 Slaughter Creek Drive in Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 years;Anatol Shepherd;White
A809741;Roxie;11/30/2019 01:56:00 PM;1516 Riverside Drive in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Cairn Terrier Mix;Black/Tricolor
A810151;*Thistle;12/08/2019 10:44:00 AM;Tower Road And Suncrest Road in Manor (TX);Stray;Normal;Dog;Intact Female;4 years;Pit Bull;Fawn/White
A812698;Oreo;01/26/2020 04:43:00 PM;Austin (TX);Owner Surrender;Normal;Other;Intact Male;1 year;Guinea Pig;White/Black
A816313;Rex;04/14/2020 08:47:00 AM;710 E Ben White Blvd in Austin (TX);Public Assist;Normal;Dog;Intact Male;4 months;Staffordshire Mix;White/Black
A800813;Rosie;07/27/2019 10:18:00 AM;2104 East Anderson Lane in Austin (TX);Stray;Normal;Dog;Intact Female;4 months;Labrador Retriever;Red/White
A806214;Cleo;10/07/2019 12:52:00 PM;Travis (TX);Owner Surrender;Normal;Cat;Intact Female;2 months;Domestic Shorthair;Torbie
A804568;Chespita;09/15/2019 06:04:00 PM;4715 Green Ridge in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Bichon Frise Mix;White
A796638;Pinky;06/03/2019 06:23:00 PM;Mt Vernon And Philco in Austin (TX);Stray;Normal;Dog;Intact Female;4 weeks;Bloodhound Mix;Black
A824609;;10/19/2020 11:18:00 AM;4401 Norwood in Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair;Blue/White
A790822;;03/17/2019 12:02:00 PM;7409 Loganberry Drive in Austin (TX);Stray;Normal;Cat;Unknown;1 year;Domestic Shorthair Mix;Brown Tabby/White
A797005;*Ramona;06/08/2019 11:42:00 AM;11902 Burnet Road in Austin (TX);Stray;Normal;Cat;Spayed Female;10 years;Snowshoe Mix;Seal Point/White
A793805;;04/30/2019 10:55:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;2 months;Domestic Shorthair Mix;Black/White
A818960;;06/18/2020 01:34:00 PM;South Mopac Expressway in Travis (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Longhair;Blue Tabby
A788334;Lucky;01/31/2019 11:41:00 AM;Hudson Bend Road And Beacon Drive in Travis (TX);Stray;Normal;Dog;Intact Male;1 year;Australian Cattle Dog/Labrador Retriever;White/Chocolate
A787446;*Izzy;01/13/2019 03:37:00 PM;West Creekview Drive in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Pit Bull Mix;Black/White
A794569;*Venus;05/09/2019 05:42:00 PM;6106 Sadler Ln in Austin (TX);Stray;Nursing;Cat;Intact Female;4 weeks;Domestic Shorthair;Black
A805492;Oscar;09/27/2019 04:43:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Male;3 months;Domestic Shorthair Mix;Cream Tabby/White
A815223;;03/12/2020 01:37:00 PM;Brandt Road And Brents Elm Drive in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Chihuahua Shorthair;Red
A818086;*Charlotte;06/01/2020 02:19:00 PM;902 Sagebrush Dr in Austin (TX);Stray;Sick;Cat;Intact Female;4 weeks;Domestic Shorthair;Calico
A786784;*Noodle;01/01/2019 04:38:00 PM;Dee Gabriel Collins & Mckinney Falls Pkwy in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;Pit Bull;Fawn/White
A812410;Eli;02/23/2020 01:20:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Neutered Male;5 months;Domestic Shorthair;Black
A795197;;05/17/2019 01:33:00 PM;7625 North Ih 35 in Austin (TX);Stray;Sick;Cat;Unknown;4 weeks;Domestic Shorthair Mix;Orange Tabby
A714515;Sassy;11/08/2019 05:34:00 PM;Pflugerville (TX);Public Assist;Normal;Dog;Spayed Female;10 years;Pit Bull Mix;Black/White
A805316;;09/25/2019 12:33:00 PM;907 West Slaughter Lane in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Orange Tabby
A801592;;08/06/2019 12:52:00 PM;1016 South Meadows Drive in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair;Black/White
A808182;Tasha;11/05/2019 01:48:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;4 years;Norwich Terrier;Red
A792908;;04/16/2019 11:20:00 PM;10505 S Ih 35 in Austin (TX);Public Assist;Normal;Other;Unknown;1 year;Bat Mix;Brown
A801211;;08/01/2019 01:28:00 PM;5303 Cameron Road in Austin (TX);Stray;Normal;Cat;Unknown;2 weeks;Domestic Shorthair;Black
A800133;Kit;07/16/2019 05:16:00 PM;8906 Brodie Lane in Austin (TX);Stray;Normal;Dog;Spayed Female;7 years;Dachshund;Brown
A815417;Katniss;03/15/2020 12:45:00 PM;11025 Doyle Overton Road in Travis (TX);Stray;Normal;Dog;Intact Female;1 month;Chihuahua Shorthair;Black
A820781;*Amethyst;07/28/2020 03:37:00 PM;8751 Linden Rd in Travis (TX);Stray;Normal;Dog;Intact Female;1 month;Labrador Retriever/German Shepherd;Black/Brown
A791945;Murph;04/04/2019 04:02:00 PM;Austin (TX);Public Assist;Normal;Dog;Neutered Male;2 years;Great Dane Mix;Brown
A797292;;06/11/2019 05:22:00 PM;6411 Lynch Lane in Austin (TX);Stray;Normal;Cat;Unknown;2 weeks;Domestic Shorthair;Black
A789470;Artemis;02/22/2019 10:26:00 AM;10300 Springdale in Austin (TX);Stray;Normal;Dog;Intact Male;5 months;Alaskan Husky Mix;White
A800538;;07/22/2019 04:21:00 PM;1803 Belford Drive in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Torbie
A789172;;02/16/2019 02:23:00 PM;4509 East St Elmo in Austin (TX);Stray;Normal;Dog;Intact Female;2 months;Blue Lacy Mix;Blue/White
A812876;;01/30/2020 12:03:00 PM;2111 Donahue Lane in Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair;Calico
A801407;*Andie;08/03/2019 05:35:00 PM;7700 Elroy Road in Travis (TX);Stray;Normal;Dog;Intact Female;5 months;Australian Cattle Dog/Labrador Retriever;White/Red Tick
A798388;;06/25/2019 01:30:00 PM;Elroy And Ross Road in Travis (TX);Stray;Normal;Dog;Intact Male;3 years;Miniature Poodle Mix;White
A817106;;05/07/2020 05:18:00 PM;1500 E Riverside in Austin (TX);Wildlife;Sick;Other;Unknown;1 year;Bat;Brown
A792785;*Badger;04/15/2019 01:00:00 PM;9300 S Ih 35 in Austin (TX);Stray;Normal;Cat;Intact Male;5 weeks;Domestic Shorthair Mix;Black/White
A798713;Oliver;06/29/2019 02:17:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Male;1 month;Domestic Shorthair;White/Black
A787622;Paws;01/17/2019 11:23:00 AM;311 West Fifth Street in Austin (TX);Stray;Normal;Dog;Intact Female;3 years;Rat Terrier/Beagle;Brown/White
A812992;*Shortcake;02/01/2020 03:13:00 PM;4803 Portillo Way in Travis (TX);Stray;Normal;Dog;Intact Female;5 years;Labrador Retriever;Tan/White
A822266;;08/28/2020 05:51:00 PM;Parmer And Metric in Austin (TX);Stray;Normal;Dog;Intact Female;4 months;Labrador Retriever Mix;Chocolate/Tricolor
A799697;Bebe;07/11/2019 10:07:00 AM;4800 South Fm 973 in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;Great Pyrenees/Labrador Retriever;White
A783086;*Patrick;06/17/2019 02:27:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;1 year;German Shepherd Mix;Brown/White
A799508;;07/09/2019 03:39:00 PM;Loyola Lane in Austin (TX);Stray;Normal;Dog;Intact Male;4 weeks;Rottweiler;Black/Brown
A800698;*Kenyon;07/25/2019 11:59:00 AM;1109 South Pleasant Valley Road in Austin (TX);Stray;Normal;Dog;Intact Male;9 months;Australian Cattle Dog;White/Red
A821404;Plex;08/10/2020 05:46:00 PM;Manor (TX);Owner Surrender;Normal;Dog;Intact Male;8 years;Rottweiler;Black/Brown
A801077;;07/30/2019 07:42:00 PM;54 Rainey St in Austin (TX);Public Assist;Normal;Other;Unknown;1 year;Bat;Brown
A811970;;01/13/2020 02:19:00 PM;183 Stoney Creek Drive in Travis (TX);Stray;Normal;Dog;Intact Female;2 months;Australian Cattle Dog/German Shepherd;Black/White
A788442;;02/02/2019 02:01:00 PM;7509 Nunsland Drive in Austin (TX);Stray;Normal;Cat;Intact Male;5 months;Domestic Shorthair Mix;Blue
A804777;Sunny;09/18/2019 07:11:00 PM;13675 Research in Austin (TX);Stray;Normal;Dog;Neutered Male;8 years;German Shepherd/Siberian Husky;Tan/Brown
A801522;;08/05/2019 02:34:00 PM;1016 South Meadows Drive in Austin (TX);Stray;Nursing;Cat;Intact Female;6 days;Domestic Shorthair;White/Blue
A808969;*Feta;11/17/2019 10:41:00 AM;7201 Levander Loop in Austin (TX);Stray;Normal;Dog;Intact Female;9 months;Labrador Retriever Mix;Brown/White
