Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A827317;Sam;12/18/2020 11:57:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Neutered Male;1 year;Domestic Shorthair Mix;Brown Tabby
A832742;Lady;04/27/2021 04:46:00 PM;2803 Lafayette in Austin (TX);Stray;Normal;Cat;Intact Female;13 years;Domestic Longhair;Orange Tabby
A833276;Alena;04/27/2021 12:25:00 PM;13500 Abrahamson Road in Manor (TX);Stray;Normal;Dog;Spayed Female;13 years;Pit Bull Mix;Black
A833308;;04/27/2021 05:26:00 PM;1156 West Cesar Chavez Street in Austin (TX);Abandoned;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Gray/White
A833230;;04/27/2021 10:48:00 AM;12707 Pond Woods Road in Austin (TX);Stray;Feral;Cat;Intact Male;2 years;Domestic Medium Hair;Cream/White
A833310;;04/27/2021 05:26:00 PM;1156 West Cesar Chavez Street in Austin (TX);Abandoned;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Brown Tabby/White
A833180;;04/27/2021 08:46:00 PM;1910 Boulding Avenue in Austin (TX);Stray;Behavior;Cat;Intact Female;2 years;Domestic Shorthair;Gray Tabby
A723702;Archer;04/27/2021 07:21:00 PM;4410 Avenue F in Austin (TX);Public Assist;Normal;Cat;Neutered Male;6 years;Domestic Shorthair Mix;Blue Tabby
A833254;;04/26/2021 07:54:00 PM;615 Wonsley in Austin (TX);Stray;Injured;Cat;Unknown;1 year;Domestic Shorthair;Gray Tabby
A833129;;04/24/2021 12:53:00 PM;13425 Vizquel Loop in Travis (TX);Stray;Normal;Dog;Intact Male;2 months;Australian Shepherd Mix;Chocolate
A833127;;04/24/2021 01:32:00 PM;13425 Vizquel Loop in Travis (TX);Stray;Normal;Dog;Intact Female;2 months;Australian Shepherd Mix;Chocolate/White
A833326;;04/28/2021 08:52:00 AM;5600 Ed Bluestein in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Cream Tabby/White
A833315;*Taffy;04/28/2021 07:47:00 AM;8805 North Plaza in Austin (TX);Stray;Sick;Cat;Intact Female;4 weeks;Domestic Shorthair;Blue Tabby/White
A832972;*Fritz;04/21/2021 08:55:00 PM;4600 Rocking Chair Road in Austin (TX);Stray;Normal;Dog;Intact Male;3 months;German Shepherd Mix;Brown/Black
A833332;;04/28/2021 10:55:00 AM;2421 Chateau Village Way in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair;Tortie/White
A833333;;04/28/2021 10:55:00 AM;2421 Chateau Village Way in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair;Tortie/White
A825459;Little John;11/04/2020 12:37:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;2 years;Pointer Mix;White/Black
A830502;*Tootsie;04/26/2021 03:55:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;3 months;Boxer Mix;Tricolor
